Station: Zürich-Kaserne
Urban
Hourly means, PREC: Hourly sums
MEZ/CET
Source: NABEL/MeteoSchweiz
The measured values for the current year are preliminary and not yet definitively verified.
Date/time;PM10 [ug/m3];PM2.5 [ug/m3];TEMP [C];PREC [mm]
01.09.2020 01:00;2.9;2.1;14.4;0.0
01.09.2020 02:00;2.8;1.9;14.5;0.0
01.09.2020 03:00;2.9;1.6;14.4;0.0
01.09.2020 04:00;2.6;1.7;14.3;0.0
01.09.2020 05:00;2.7;1.7;14.0;0.0
01.09.2020 06:00;3.0;1.9;13.9;0.0
01.09.2020 07:00;4.4;2.7;14.0;0.0
01.09.2020 08:00;6.2;3.2;14.5;0.0
01.09.2020 09:00;8.7;3.7;15.0;0.0
01.09.2020 10:00;7.2;4.1;15.6;0.0
01.09.2020 11:00;6.1;3.9;16.4;0.0
01.09.2020 12:00;6.0;3.3;18.2;0.0
01.09.2020 13:00;6.0;3.4;18.1;0.0
01.09.2020 14:00;5.3;3.1;18.5;0.0
01.09.2020 15:00;6.4;3.3;18.3;0.0
01.09.2020 16:00;4.1;2.3;18.1;0.0
01.09.2020 17:00;3.1;1.9;18.4;0.0
01.09.2020 18:00;4.0;2.6;17.6;0.0
01.09.2020 19:00;3.1;2.1;16.9;0.0
01.09.2020 20:00;3.1;2.1;16.4;0.0
01.09.2020 21:00;3.9;2.6;16.0;0.0
01.09.2020 22:00;4.2;2.9;15.4;0.0
01.09.2020 23:00;5.0;3.2;15.0;0.0
02.09.2020 00:00;4.1;2.9;14.4;0.0
02.09.2020 01:00;4.2;3.0;13.9;0.0
02.09.2020 02:00;4.5;3.7;13.6;0.0
02.09.2020 03:00;5.0;4.4;13.5;0.0
02.09.2020 04:00;6.0;5.4;13.4;0.0
02.09.2020 05:00;6.8;6.4;13.6;0.0
02.09.2020 06:00;7.7;6.9;13.4;0.0
02.09.2020 07:00;8.5;7.1;13.4;0.0
02.09.2020 08:00;11.9;8.4;14.1;0.0
02.09.2020 09:00;11.2;8.8;14.6;0.0
02.09.2020 10:00;8.8;7.8;15.5;0.0
02.09.2020 11:00;7.6;6.3;16.9;0.0
02.09.2020 12:00;7.5;6.0;17.8;0.0
02.09.2020 13:00;5.3;4.4;19.6;0.0
02.09.2020 14:00;5.3;3.6;20.3;0.0
02.09.2020 15:00;5.2;3.6;20.2;0.0
02.09.2020 16:00;3.9;2.7;21.0;0.0
02.09.2020 17:00;4.1;2.7;21.2;0.0
02.09.2020 18:00;4.8;3.0;20.7;0.0
02.09.2020 19:00;5.2;3.7;19.8;0.0
02.09.2020 20:00;6.5;4.6;18.8;0.0
02.09.2020 21:00;11.6;8.9;17.3;0.0
02.09.2020 22:00;11.7;9.2;16.0;0.0
02.09.2020 23:00;8.7;6.7;14.9;0.0
03.09.2020 00:00;6.1;4.5;14.2;0.0
03.09.2020 01:00;8.8;6.3;14.1;0.0
03.09.2020 02:00;8.6;6.5;13.4;0.0
03.09.2020 03:00;8.6;6.3;12.9;0.0
03.09.2020 04:00;8.2;6.2;12.7;0.0
03.09.2020 05:00;8.4;5.9;12.2;0.0
03.09.2020 06:00;9.5;6.2;12.1;0.0
03.09.2020 07:00;12.8;7.7;12.4;0.0
03.09.2020 08:00;23.5;9.9;13.3;0.0
03.09.2020 09:00;18.2;9.4;15.4;0.0
03.09.2020 10:00;9.5;5.8;17.1;0.0
03.09.2020 11:00;11.7;7.1;19.2;0.0
03.09.2020 12:00;10.9;6.9;20.8;0.0
03.09.2020 13:00;6.6;4.6;21.8;0.0
03.09.2020 14:00;4.6;3.2;22.9;0.0
03.09.2020 15:00;6.7;3.2;23.3;0.0
03.09.2020 16:00;5.3;2.8;23.8;0.0
03.09.2020 17:00;4.9;3.0;23.9;0.0
03.09.2020 18:00;5.3;3.4;23.2;0.0
03.09.2020 19:00;8.0;5.4;22.3;0.0
03.09.2020 20:00;14.7;11.3;20.8;0.0
03.09.2020 21:00;20.6;17.9;19.3;0.0
03.09.2020 22:00;13.8;10.5;18.1;0.0
03.09.2020 23:00;9.9;6.7;17.4;0.0
04.09.2020 00:00;9.2;6.2;17.0;0.0
04.09.2020 01:00;8.6;5.9;16.6;0.0
04.09.2020 02:00;7.4;5.2;16.3;0.0
04.09.2020 03:00;7.0;5.2;15.5;0.0
04.09.2020 04:00;8.8;6.0;14.9;0.0
04.09.2020 05:00;8.7;6.2;14.4;0.0
04.09.2020 06:00;10.3;6.8;14.2;0.0
04.09.2020 07:00;21.5;8.7;14.5;0.0
04.09.2020 08:00;23.8;10.3;15.5;0.0
04.09.2020 09:00;27.4;11.5;17.5;0.0
04.09.2020 10:00;17.2;8.7;19.7;0.0
04.09.2020 11:00;12.1;6.4;21.8;0.0
04.09.2020 12:00;12.2;6.7;23.9;0.0
04.09.2020 13:00;9.1;5.8;25.0;0.0
04.09.2020 14:00;11.2;6.2;26.3;0.0
04.09.2020 15:00;12.4;6.4;27.0;0.0
04.09.2020 16:00;10.0;5.6;27.5;0.0
04.09.2020 17:00;9.5;4.9;27.7;0.0
04.09.2020 18:00;8.7;4.4;27.2;0.0
04.09.2020 19:00;14.8;7.1;25.8;0.0
04.09.2020 20:00;20.5;12.6;23.4;0.0
04.09.2020 21:00;23.1;17.1;21.9;0.0
04.09.2020 22:00;16.6;13.0;20.7;0.0
04.09.2020 23:00;18.9;15.6;20.1;0.0
05.09.2020 00:00;16.2;11.6;19.6;0.0
05.09.2020 01:00;12.3;8.3;19.4;0.0
05.09.2020 02:00;11.1;7.0;19.1;0.0
05.09.2020 03:00;11.7;8.3;18.5;0.0
05.09.2020 04:00;12.8;9.4;17.7;0.0
05.09.2020 05:00;14.2;9.9;17.4;0.0
05.09.2020 06:00;11.5;7.8;16.7;0.0
05.09.2020 07:00;14.0;8.4;17.1;0.0
05.09.2020 08:00;13.4;8.3;19.2;0.0
05.09.2020 09:00;10.7;5.9;22.9;0.0
05.09.2020 10:00;10.6;6.0;24.4;0.0
05.09.2020 11:00;11.3;6.1;25.3;0.0
05.09.2020 12:00;10.7;6.2;25.8;0.0
05.09.2020 13:00;10.2;6.0;26.2;0.0
05.09.2020 14:00;11.1;6.1;27.0;0.0
05.09.2020 15:00;11.4;6.2;27.5;0.0
05.09.2020 16:00;12.0;6.4;27.8;0.0
05.09.2020 17:00;13.4;7.0;27.0;0.0
05.09.2020 18:00;14.9;6.6;25.8;0.0
05.09.2020 19:00;15.7;7.7;24.2;0.0
05.09.2020 20:00;14.2;7.9;23.0;0.0
05.09.2020 21:00;16.4;9.4;22.4;0.0
05.09.2020 22:00;14.7;8.9;21.8;0.0
05.09.2020 23:00;15.1;8.5;20.9;0.0
06.09.2020 00:00;10.9;6.3;19.3;0.0
