Date/time,TEMP [C],Relative humidity,PM1 [ug/m3],PM2.5 [ug/m3],PM10 [ug/m3]
2021-04-29 15:15:15+02:00,17.2,17.2,6.38,7.05,7.05
2021-04-29 15:20:15+02:00,17.2,17.2,4.31,5.47,6.28
2021-04-29 15:25:17+02:00,17.4,17.4,3.48,5.28,6.9
2021-04-29 15:30:15+02:00,17.4,17.4,3.53,3.9,3.9
2021-04-29 15:35:17+02:00,19.2,19.2,4.1,4.53,4.53
2021-04-29 15:40:17+02:00,18.3,18.3,5.63,8.02,10.07
2021-04-29 15:45:14+02:00,18.3,18.3,4.72,5.22,5.22
2021-04-29 15:50:14+02:00,18.3,18.3,6.29,6.95,6.95
2021-04-29 15:55:14+02:00,18.9,18.9,2.53,3.35,3.97
2021-04-29 16:00:15+02:00,18.6,18.6,5.71,9.0,12.05
2021-04-29 16:05:15+02:00,18.2,18.2,4.33,5.65,6.64
2021-04-29 16:10:14+02:00,18.1,18.1,4.18,4.62,4.62
2021-04-29 16:15:14+02:00,17.2,17.2,4.29,5.8,7.01
2021-04-29 16:20:14+02:00,16.7,16.7,7.07,8.79,9.91
2021-04-29 16:25:14+02:00,15.7,15.7,6.08,11.03,15.93
2021-04-29 16:30:14+02:00,15.6,15.6,6.67,9.16,11.21
2021-04-29 16:35:15+02:00,15.3,15.3,3.5,3.87,3.87
2021-04-29 16:40:14+02:00,14.7,14.7,3.26,3.61,3.61
2021-04-29 16:50:14+02:00,14.1,14.1,5.81,6.43,6.43
2021-04-29 16:55:14+02:00,14.1,14.1,7.51,11.25,14.59
2021-04-29 17:00:15+02:00,13.9,13.9,3.86,4.26,4.26
2021-04-29 17:05:14+02:00,14.0,14.0,8.36,9.24,9.24
2021-04-29 17:10:14+02:00,14.5,14.5,6.04,7.94,9.38
2021-04-29 17:15:14+02:00,14.0,14.0,4.68,5.18,5.18
2021-04-29 17:20:14+02:00,13.6,13.6,5.04,7.57,9.85
2021-04-29 17:25:15+02:00,13.7,13.7,7.56,8.36,8.36
2021-04-29 17:30:15+02:00,13.4,13.4,7.5,8.33,8.38
2021-04-29 17:35:14+02:00,13.2,13.2,6.37,9.56,12.42
2021-04-29 17:40:14+02:00,13.7,13.7,8.2,9.9,10.86
2021-04-29 17:45:15+02:00,12.9,12.9,6.9,7.63,7.63
2021-04-29 17:50:15+02:00,13.0,13.0,5.32,5.88,5.88
2021-04-29 17:55:14+02:00,13.2,13.2,6.67,8.57,9.93
2021-04-29 18:00:14+02:00,13.5,13.5,8.38,10.63,12.18
2021-04-29 18:05:15+02:00,13.4,13.4,5.81,6.42,6.42
2021-04-29 18:10:16+02:00,13.4,13.4,10.01,17.98,25.84
2021-04-29 18:15:14+02:00,13.3,13.3,5.54,7.83,9.78
2021-04-29 18:20:14+02:00,13.2,13.2,4.91,5.42,5.42
2021-04-29 18:25:14+02:00,13.0,13.0,2.62,3.8,4.82
2021-04-29 18:30:14+02:00,12.7,12.7,2.03,2.75,3.31
2021-04-29 18:35:15+02:00,12.7,12.7,3.61,4.67,5.45
2021-04-29 18:40:14+02:00,12.6,12.6,5.69,6.29,6.29
2021-04-29 18:45:14+02:00,12.5,12.5,4.64,5.13,5.13
2021-04-29 18:50:14+02:00,12.3,12.3,3.12,4.08,4.8
2021-04-29 18:55:15+02:00,12.2,12.2,5.25,5.81,5.81
2021-04-29 19:00:15+02:00,11.9,11.9,6.67,8.99,10.83
2021-04-29 19:05:15+02:00,11.8,11.8,5.98,6.61,6.61
2021-04-29 19:10:15+02:00,11.7,11.7,6.62,8.23,9.26
2021-04-29 19:15:14+02:00,11.5,11.5,5.82,6.52,6.62
2021-04-29 19:20:14+02:00,11.5,11.5,5.02,5.55,5.55
2021-04-29 19:25:14+02:00,11.5,11.5,6.25,6.91,6.91
2021-04-29 19:30:15+02:00,11.4,11.4,7.96,10.41,12.24
