Date,Time,Temperature,Humidity,PM1,PM2.5,PM10
2021-04-28,14:38:49,23.2,33.3,1.17,1.29,1.29
2021-04-28,14:39:19,23.2,33.3,3.41,3.77,3.77
2021-04-28,14:39:49,23.2,33.4,0.98,1.68,2.36
2021-04-28,14:40:19,23.2,33.3,0.73,0.81,0.81
2021-04-28,14:41:41,23.2,33.4,2.23,4.78,7.41
2021-04-28,14:42:11,23.2,33.5,2.54,3.95,5.24
2021-04-28,14:42:38,23.2,33.5,1.2,1.33,1.33
2021-04-28,14:43:08,23.2,33.6,1.16,1.29,1.29
2021-04-28,14:43:38,23.2,33.3,2.37,3.11,3.67
2021-04-28,14:44:08,23.3,33.3,3.25,5.52,7.7
2021-04-28,14:44:38,23.2,33.4,1.92,2.12,2.12
2021-04-28,14:45:11,23.2,33.1,2.66,4.46,6.19
2021-04-28,14:45:38,23.2,33.1,2.44,3.41,4.22
2021-04-28,14:46:08,23.2,33.1,2.29,2.53,2.53
2021-04-28,14:46:38,23.2,33.2,2.28,2.52,2.52
2021-04-28,14:47:08,23.2,33.4,2.61,4.28,5.87
2021-04-28,14:47:39,23.2,33.2,1.62,3.63,5.72
2021-04-28,14:48:09,23.2,33.1,3.41,3.77,3.77
2021-04-28,14:48:39,23.2,33.1,1.94,2.14,2.14
2021-04-28,14:49:09,23.2,32.9,2.86,3.17,3.17
2021-04-28,14:49:39,23.2,32.9,2.9,3.48,3.79
2021-04-28,14:50:09,23.2,33.0,1.23,1.36,1.36
2021-04-28,14:50:39,23.2,33.0,1.29,1.81,2.24
2021-04-28,14:51:09,23.2,32.9,0.91,1.71,2.5
2021-04-28,14:51:39,23.2,32.9,2.33,2.57,2.57
2021-04-28,14:52:09,23.1,32.9,3.35,6.03,8.68
2021-04-28,14:52:39,23.2,32.9,2.05,3.98,5.93
2021-04-28,14:53:09,23.1,32.9,3.02,6.57,10.25
2021-04-28,14:53:39,23.2,32.9,1.34,1.48,1.48
2021-04-28,14:54:09,23.1,32.9,1.2,1.32,1.32
2021-04-28,14:54:39,23.1,33.0,1.2,1.33,1.33
2021-04-28,14:55:09,23.1,33.0,1.19,1.31,1.31
2021-04-28,14:55:39,23.1,33.0,1.37,2.1,2.76
2021-04-28,14:56:12,23.1,32.8,1.74,1.93,1.93
2021-04-28,14:56:39,23.1,32.8,3.12,4.83,6.39
2021-04-28,14:57:09,23.1,32.8,2.58,4.4,6.16
2021-04-28,14:57:39,23.1,32.8,3.37,6.35,9.34
2021-04-28,14:58:09,23.1,32.8,2.85,3.15,3.15
2021-04-28,14:58:39,23.1,32.9,2.99,3.94,4.67
2021-04-28,14:59:09,23.1,33.0,2.5,3.48,4.28
2021-04-28,14:59:39,23.1,33.0,2.03,3.68,5.31
2021-04-28,15:00:09,23.1,32.9,1.81,2.33,2.7
2021-04-28,15:00:39,23.1,32.9,1.21,1.33,1.33
2021-04-28,15:01:09,23.1,32.9,2.3,2.54,2.54
2021-04-28,15:01:39,23.2,32.9,1.69,1.87,1.87
2021-04-28,15:02:09,23.2,33.2,2.75,5.28,7.83
2021-04-28,15:02:39,23.2,33.1,1.15,1.27,1.27
2021-04-28,15:03:09,23.2,33.3,1.19,1.32,1.32
2021-04-28,15:03:39,23.2,33.3,5.74,7.72,9.29
2021-04-28,15:04:09,23.2,33.3,3.32,6.09,8.84
2021-04-28,15:04:39,23.2,33.5,2.8,3.1,3.1
2021-04-28,15:05:09,23.2,33.4,2.45,3.6,4.61
2021-04-28,15:05:40,23.2,33.3,1.34,1.83,2.23
2021-04-28,15:06:12,23.3,33.0,1.2,1.32,1.32
2021-04-28,15:06:40,23.3,33.0,1.92,2.91,3.81
2021-04-28,15:07:10,23.3,32.8,2.73,4.98,7.2
2021-04-28,15:07:42,23.3,32.8,1.23,1.65,1.98
2021-04-28,15:08:10,23.3,32.8,1.22,1.66,2.0
2021-04-28,15:08:40,23.3,32.9,1.17,1.29,1.29
2021-04-28,15:09:10,23.3,32.8,3.33,3.68,3.68
2021-04-28,15:09:40,23.3,33.0,1.38,2.2,2.97
2021-04-28,15:10:12,23.3,32.6,1.97,3.15,4.25
2021-04-28,15:10:40,23.3,32.6,1.33,2.35,3.36
2021-04-28,15:11:10,23.3,32.7,1.78,1.97,1.97
2021-04-28,15:11:40,23.3,32.7,0.97,1.07,1.07
2021-04-28,15:12:10,23.3,32.9,0.8,1.84,2.92
