Epochs,Neurons,Error
1,1,51.433
2,1,81.668
10,1,86.165
25,1,49.331
50,1,37.753
100,1,36.714
150,1,36.665
200,1,35.555
1,2,46.655
2,2,70.604
10,2,63.665
25,2,38.317
50,2,38.691
100,2,36.306
150,2,35.226
200,2,35.598
1,10,72.700
2,10,83.379
10,10,42.616
25,10,39.415
50,10,38.498
100,10,35.766
150,10,36.476
200,10,34.408
1,25,81.138
2,25,76.087
10,25,40.411
25,25,38.168
50,25,36.837
100,25,35.324
150,25,35.637
200,25,35.274
1,50,82.526
2,50,61.832
10,50,38.257
25,50,36.300
50,50,35.684
100,50,35.413
150,50,35.522
200,50,35.166
1,100,68.699
2,100,53.427
10,100,35.505
25,100,36.102
50,100,35.644
100,100,35.431
150,100,35.646
200,100,35.386
1,150,58.908
2,150,47.078
10,150,35.022
25,150,35.219
50,150,35.592
100,150,35.450
150,150,35.811
200,150,35.642
1,200,57.498
2,200,43.839
10,200,33.795
25,200,35.077
50,200,35.364
100,200,35.690
150,200,35.859
200,200,35
